2021-08-18 09:40:41 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:41 | INFO | crawl | 200,https://m.weibo.cn/comments/hotflow?&max_id_type=0&id=4671424705331327&mid=4671424705331327
2021-08-18 09:40:41 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:42 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:42 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:42 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:42 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:43 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:43 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:43 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:43 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:43 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:43 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:44 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:44 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:44 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:44 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:44 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:45 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:45 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:45 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:45 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:45 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:45 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:46 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:46 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:46 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:46 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:46 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:46 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:46 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:46 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:46 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:46 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:47 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:47 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:47 | INFO | crawl | secondary comment crawling completed~
2021-08-18 09:40:55 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:55 | INFO | crawl | 200,https://m.weibo.cn/comments/hotflow?&max_id=139266034292360&max_id_type=0&id=4671424705331327&mid=4671424705331327
2021-08-18 09:40:55 | DEBUG | crawl | SUB=_2A25MH6K6DeRhGe
2021-08-18 09:40:55 | INFO | crawl | secondary comment crawling completed~
